"time_index","mean","lowerci","upperci","t_test_lwr","t_test_upr"
0,13.9700558818201,3.94063905773898,23.9994727059011,5.39019448818206,21.918036793603
1,14.0152159306646,3.99849780040719,24.031934060922,5.44577298374031,21.9535456823865
2,10.2122993727867,3.33517641822528,17.0894223273481,4.32443267903105,15.6665427394443
3,18.3874179755192,12.9895672711331,23.7852686799052,13.6084249218496,22.8144528453684
4,120.702815614369,99.241318322784,142.164312905954,100.282885579081,139.61888041942
5,410.388878516157,348.791316899483,471.98644013283,349.247002277163,467.027843059156
6,864.459310323748,754.429169163721,974.489451483775,749.297235483939,971.140051491295
7,1284.9716235524,1136.86281597283,1433.08043113197,1123.92473758193,1434.15790021469
8,1464.14047292203,1304.73288052431,1623.54806531974,1286.56412342993,1628.63886880448
9,1604.65709417348,1433.63519341317,1775.67899493379,1412.32921717278,1782.82061279847
10,1775.10295427695,1590.69636585478,1959.50954269912,1565.28443339646,1969.46898449432
11,1921.57795603191,1723.41209193585,2119.74382012797,1695.33407825746,2131.15966597567
12,2050.70429682945,1839.44661754367,2261.96197611522,1809.3938158265,2274.24300087503
13,2185.9992178119,1961.18174576264,2410.81668986116,1928.99795456928,2424.07312610034
14,2319.80867981643,2081.66680613216,2557.95055350069,2047.34124012572,2572.20972808392
15,2432.60145354428,2183.44237671513,2681.76053037342,2147.22683426751,2696.95910720065
16,2512.55704502351,2255.86566360973,2769.24842643729,2218.20067999295,2785.23496640106
17,2552.04715802827,2291.88170384931,2812.21261220723,2253.40337806236,2828.69673937836
18,2539.23162551927,2280.71593312845,2797.74731791009,2242.29503483308,2814.29974684507
19,2453.59548135436,2203.98832535425,2703.20263735448,2166.78794440939,2719.28052268666
20,2275.18224650698,2043.90337712594,2506.46111588802,2009.337470369,2521.4483700843
21,2001.54029191609,1798.35410449436,2204.72647933782,1767.83602621814,2218.03295508975
22,1657.58101807807,1489.74151855182,1825.42051760431,1464.2972592086,1836.63002080336
23,1291.707537846,1161.45410592635,1421.96096976566,1141.41136425321,1430.93485913062
24,958.846740242128,862.633701001576,1055.05977948268,847.565847619889,1061.93213636094
25,695.45922757782,625.728294422218,765.190160733422,614.778170441895,770.198372260774
26,508.658340243643,456.703668937748,560.613011549538,449.073948148167,563.854524574335
27,349.835553931067,307.167948423473,392.50315943866,304.465928335553,391.863845725531
28,349.879326778339,307.284236096372,392.474417460306,304.555233248648,391.865439804006
29,65.0647305740138,45.644124222539,84.4853369254886,47.8948386938072,80.970112567999
30,65.1097675229311,45.7071679341404,84.5123671117219,47.9534795448404,81.0025475004755
31,65.1548145055114,45.7697890278607,84.539839983162,48.0117755259775,81.0353212326151
